symbol,timestamp,sentiment_score,sentiment_confidence,sentiment_source_count,sentiment_freshness,sentiment_stale_flag,sentiment_missing,sentiment_dispersion,sentiment_novelty
TATASTEEL.NS,2026-02-10 09:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-11 03:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-11 04:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-11 05:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-11 06:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-11 07:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-11 08:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-11 09:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-12 03:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-12 04:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-12 05:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-12 06:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-12 07:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-12 08:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-12 09:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-13 03:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-13 04:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-13 05:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-13 06:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-13 07:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-13 08:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-13 09:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-16 03:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-16 04:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-16 05:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
